family_id,member_count,localization_keys,English_display,English_references,detected_languages,classifications,review_buckets,priorities,review_decision,verified_source_language,verified_foreign_span,verified_meaning,translation_notes
family_ac06366b964c,4,gree_pozdrav_m_mein_freun_Mx1F; gree_pozdrav_n_mein_freun_CF1i; gree_pozdrav_n_mein_freun_dt9W; gree_pozdrav_z_mein_freun_nNlA,"Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht! || !P Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_232e75b974f7,3,gree_pozdrav_n_mein_gott__eRz5; gree_pozdrav_n_mein_gott__veig; gree_pozdrav_z_mein_gott__7VG5,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_d5bca4f285d5,3,hosp_hospodsky_oy_oy_vey_OSY6; hosp_hospodsky_oy_oy_vey_s9Of; krov_kostkar_k_oy_oy_vej_o0vE,"Oy, oy vey!","Oy, Oy Vey! || !P Oy, Oy Vey! || Oy, oy vej!",yiddish_hebrew,likely_full_foreign,full_foreign_translation,highest,,,,,
family_57462f253262,3,gree_obchodnik_wie_kann_i_cSy3; gree_pozdrav_m_wie_kann_i_laXM; gree_pozdrav_z_wie_kann_i_OVJr,"Wie kann ich dir helfen, mein Freund?","Wie kann ich dir helfen, mein Freund? || !P Wie kann ich dir helfen, mein Freund?",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_569163fff82d,2,gree_pozdrav_n_mein_freun_KxnG; gree_pozdrav_n_mein_freun_nrPi,"!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_e9bc419bab11,2,rozl_obchodnic_oh_es_ist__ooCf; rozl_obchodnik_oh_es_ist__BkgQ,"Das ist aber schade, mein Freund.","Oh, es ist schade, mein Freund.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_24a059e740e5,2,posl_event_hla_das_ist_bl_grGR; posl_event_hla_das_ist_bl_wsA2,Das ist Blödsinn! Das ist alles Unsinn!,!P Das ist Blödsinn! Es ist alles Unsinn!,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_db416aa1a36d,2,gree_pozdrav_m_es_ist_ein_Yymn; gree_pozdrav_z_es_ist_ein_mw8y,"Es ist eine Sünde, hier mit nacktem Hintern herumzulaufen, mein Freund!","Es ist eine Sünde, hier mit nacktem Arsch herumzulaufen, mein Freund! || !P Es ist eine Sünde, hier mit nacktem Arsch herumzulaufen, mein Freund!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_4c77cdf7520b,2,pozd_pozdrav_n_gott_segne_L3JS; pozd_pozdrav_n_gott_segne_dfFz,"Gott segne dich, mein Freund!","Gott segne dich, mein Freund!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_291210c1bbed,2,endi_rozloucen_gott_mit_d_aMhC; endi_rozloucen_gott_mit_d_ffjt,"Gott sei mit dir, mein Herr!","!P Gott mit dir, Mein Herr!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_250c78288426,2,gree_pozdrav_m_gru_dich_a_qepG; gree_pozdrav_z_gru_dich_a_pT7X,Grüß dich … Aber du bist ja voller Blut!,Grüß dich... aber du bist voller Blut! || !P Grüß dich... aber du bist voller Blut!,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_b76fa19d821c,2,gree_pozdrav_m_gru_dich_w_s5Oh; gree_pozdrav_z_gru_dich_w_oouZ,"Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund? || !P Grüß dich! Wie kann ich dir helfen, mein Freund?",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_9feff46a0a80,2,gree_pozdrav_m_gru_dich_w_KvFt; gree_pozdrav_z_gru_dich_w_Qobd,Grüß dich! Wie kann ich dir helfen?,Grüß dich! Wie kann ich dir helfen? || !P Grüß dich! Wie kann ich dir helfen?,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_bb5d8204e961,2,gree_pozdrav_n_gruss_gott_O07K; horn_pozdrav_h_gruss_gott_kZMq,"Grüß Gott, Freund!","!P Grüss Gott, Mann!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_d5ee67ba5d5a,2,pozd_uctivy_po_gru_gott_m_4JK4; pozd_uctivy_po_gru_gott_m_Zh06,"Grüß Gott, mein Herr!","Grüß Gott, mein Herr! || Grüss Gott, mein Herr!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_8ec4d46656b9,2,comb_hejtman_f_hm_ale_jo__hfqM; comb_hejtman_s_hm_ale_jo__odQd,"Hmm … Aber ja, warum nicht?","!P Hmm... Aber ja, warum nicht?",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_8e0aa94b0202,2,smlo_smlouvani_ja_das_ist_6DXx; smlo_smlouvani_ja_das_ist_z1CC,"Ja, das ist gut.","!P Ja, das ist gut.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_80ab330f1e31,2,muz__hospodsky_ja_naturli_tXxh; zena_hospodska_ja_naturli_M9br,"Ja, natürlich mein Herr.","!P Ja, natürlich mein Herr.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_204c7adf138f,2,muz__hospodsky_ja_warum_n_0BZM; zena_hospodska_ja_warum_n_lNay,"Ja, warum nicht?","!P Ja, warum nicht?",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_bbe3fa73d95b,2,vyvo_vyvolavan_einkaufen__QRDo; vyvo_vyvolavan_geschaft_i_8fbg,"Kauft ein, kauft ein! Ich schließe bald … Kommt und kauft, Leute!","Einkaufen! Einkaufen! Ich schliesse bald... Komm und Einkaufen, Liute!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_6e89de13f523,2,gree_pozdrav_m_mazel_tov_F73e; pozd_sousedsky_zaj_gezunt_9dX9,Mazel tov!,!P Mazel tov! || Mazel tov!,yiddish_hebrew,likely_full_foreign,full_foreign_translation,highest,,,,,
family_bbaab81e7a77,2,gree_pozdrav_m_mein_freun_NkqT; gree_pozdrav_z_mein_freun_XHAj,"Mein Freund, ich wäre jetzt auch gerne betrunken.","Mein Freund, ich beneide dich total um deine Trunkenheit. || !P Mein Freund, ich beneide dich total um deine Trunkenheit.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
