localization_key,English_reference,English_display
__ba_opilec_za_dva_na_jed_S2QZ,Two against one? What kind of swiz is that?,Two on one? What kind of shit is that?
__ba_opilec_za_nemel_sebo_M48K,"Hurry it up, I have to take a piss...","Hurry up, I have to take a piss..."
__ba_pacholek__az_te_sloz_IkB0,"When I knock you on your arse, I'll piss in your face!","Once I knock you on your arse, I'll piss in your face!"
__ba_pacholek__buhuhuuu_n_ZDUs,Boo bloody hoo! Have you got a booboo?,"Oh, boo-bloody-hoo! What's the matter, does it hurt?!"
__ba_pacholek__mam_ti_pri_xXMn,Should I call you a priest? Or your mummy?,Should I call you a priest? Or your ma?
__ba_pacholek__zmaluju_ti_gP5p,I'll kick your arse!,I'll paint you black and blue!
__ba_sedlak_tu_himbajs_ta_Cj7p,"Dammit, a direct hit!","Damn, what a hit!"
__ba_sedlak_tu_uaaaaa_lek_1Yz7,Aaaaaahhhhh!! Did I scare you?,Aaaaaahhhhh! Did I scare you?
__ba_sedlak_tu_zakopni_sv_D2zJ,"Kick, swing - give it to me!",Stumble! Fall down! I want it!
__ba_vazoun_do_psi_re36,No bloody...,Bloody Hell…
__ba_vazoun_hej_rup_a_mas_wRJm,Hey rup! And that's that!,Hey! And that's that.
__ba_vazoun_ja_si_te_podam_EYO7,I'll give you such a beating!,I'll take you on!
__ba_vazoun_pojd_bliz_neb_v1Br,Come closer... Don't be afraid.,Come closer... Don't be scared.
achy_alchymist_a_je_to_a__n6s0,It's all over! That was hard work!,That's that! That was hard work!
achy_alchymist_aspon_zije_UWNH,We're alive at least… And that'll do for today.,At least we're alive… I reckon that'll do for today.
achy_alchymist_tak_tohle__d1im,That was a close run thing.,That was a close one.
achy_alchymist_ten_kluk_b_HUao,That lad was pretty crazy.,That lad must've been mad.
achy_alchymist_to_by_nas__wqi5,The bones would have cost us dear…,Those bones would have cost us dearly.
adam_adam_maji_a_ten_ma_a_Lk0m,"And I reckon he has friends in high places, because he went straight to the city council.","And I reckon he has friends in high places, because he went straight to the city council. Not good for business."
adam_adam_maji_jako_kazde_9APi,Like any other tramp. Dirty and disgusting. And he's got a dent in his head kids could use for a game of marbles.,Like any other tramp. Filthy and disgusting. And he's got a dent in his head the nippers could use for a game of marbles.
adam_adam_maji_krome_nemc_Dqvc,"Besides Germans, Goatskin also robbed a scholar from Prague. Jan Schindel, he's called.","Besides the Germans, Goatskin also robbed a scholar from Prague. Jan Schindel, he's called."
adam_adam_maji_no_co_zas__cMcn,What now?,What about him now?
adam_adam_maji_no_to_teda_GmtN,You bloody bet I do.,You're damn right I do!
adam_adam_maji_slysel_nes_vEe8,Such sad news…,Such sad news.
adam_adam_maji_spis_asi_n_3JO6,"Don't think so. But I'm not sure, ask the girls. But please don't interrogate my guests.","I reckon not. But I'm not sure, ask the girls. Just please don't interrogate my guests, alright?"
adam_adam_maji_stezuje_si_9zQS,He complained to the council mainly because Goatskin nicked some… learned stuff of his. He's one of them fanatic nutters.,Schindel complained to the council mainly because Goatskin nicked some… scholarly stuff of his. He's one of them fanatic crackpots.
adam_adam_maji_ten_vsivej_V88J,"That lousy toe-rag robs my punters. Germans mostly, and they happen to be my best customers.","That lousy bastard robs my customers. Deutschers mostly, and they're the very ones that pay best."
adam_adam_maji_tvrdili_ze_uPZi,"They claimed not to know anything, but they couldn't stop smirking. Wankers.","They claimed not to know anything, but they couldn't stop smirking. Bastards."
adam_adam_maji_ulehcit_ji_kiSw,"Running a bathhouse isn't easy, as she found out to her cost, poor thing.","Running a bathhouse isn't easy, as she found out, poor thing."
adam_henry_byl_jsem_u_toh_zeoI,I was there when you talked about it.,I was there when you chatted with her.
adam_henry_hledam_tady_ne_DcTU,I'm looking for someone called Goatskin and the serving girl said you want to find him too.,I'm looking for someone called Goatskin and the innkeeper said you want to find him too.
adam_henry_jeeste_k_tomu__f33l,About that Goatskin.,About that Goatskin…
adam_henry_tusis_co_byli__jV2o,Any idea what the learned stuff was? Books?,Any idea what the scholarly stuff was? Books?
