occurrence_count,total_localization_keys,max_revised_score,min_revised_score,classification,direct_reference_candidate,English_display,English_reference,preserved_tokens,sample_localization_keys
4,4,18,17,likely_foreign_phrase,yes,"Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","!P Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht! || Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",Freund; Mein; Sünde; Trunkenheit; eine; nicht; Übertreibe,gree_pozdrav_m_mein_freun_Mx1F; gree_pozdrav_n_mein_freun_CF1i; gree_pozdrav_n_mein_freun_dt9W; gree_pozdrav_z_mein_freun_nNlA
2,2,18,18,likely_foreign_phrase,yes,"Grüß Gott! Was brauchst du, mein Freund?","!P Grüß Gott! Was du brauchst, mein Freund? || Grüß Gott! Was du brauchst, mein Freund?",Freund; Gott; Grüß; brauchst; mein,gree_pozdrav_m_gru_gott_w_GE69; gree_pozdrav_z_gru_gott_w_1JKA
2,2,18,17,likely_foreign_phrase,yes,"Grüß Gott, mein Herr!","Grüss Gott, mein Herr! || Grüß Gott, mein Herr!",Gott; Grüß; Herr; mein,pozd_uctivy_po_gru_gott_m_4JK4; pozd_uctivy_po_gru_gott_m_Zh06
2,2,18,17,likely_foreign_phrase,yes,"Grüß dich! Wie kann ich dir helfen, mein Freund?","!P Grüß dich! Wie kann ich dir helfen, mein Freund? || Grüß dich! Wie kann ich dir helfen, mein Freund?",Freund; Grüß; dich; helfen; kann; mein,gree_pozdrav_m_gru_dich_w_s5Oh; gree_pozdrav_z_gru_dich_w_oouZ
2,2,18,17,likely_foreign_phrase,yes,"Schlecht für dich, gut für mich, mein Freund.","Das nenne ich Pech! || Dein Pech, mein Glück, mein Freund.",Freund; Schlecht; dich; mein; mich,kost_kostky_he_das_nenne__P9e5; kost_kostky_he_dein_pech__HF0q
1,1,18,18,likely_foreign_phrase,yes,"Gott zum Gruße, mein Freund! Ulrich von Remold, ein Dichter und ein Pilger im Land der Narren.","Gott zum Gruße, mein Freund! Ulrich von Remold, ein dichter und ein Pilger im Land der Narren.",Dichter; Freund; Gott; Gruße; Land; Narren; Pilger; Remold; Ulrich; mein,ulri_event_tab_gott_zum_g_D7ro
1,1,18,18,likely_foreign_phrase,yes,"Grüß Gott! Was brauchen Sie, mein Herr?","!P Grüß Gott! Was du brauchst, mein Herr?",Gott; Grüß; Herr; brauchen; mein,gree_pozdrav_z_gru_gott_w_FxYm
1,1,18,18,likely_foreign_phrase,yes,"Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was du brauchst, mein Herr?",Gott; Grüß; Herr; brauchst; mein,gree_pozdrav_m_gru_gott_w_HOdz
1,1,18,18,likely_foreign_phrase,yes,"Möge Gott mit dir sein, mein Freund.","Gott möge Ihre Hand führen, mein Freund.",Freund; Gott; Möge; mein; sein,vrac_kradene_z_gott_moge__slhC
1,1,17,17,likely_foreign_phrase,yes,"Mein Gott, das ist nicht gut… And do you have any other lead?","Mein Gott, es ist nicht gut… And do you have any other lead?",Gott; Mein; nicht,odev_cechmistr_es_ist_nic_df7k
2,2,16,16,likely_foreign_phrase,yes,"Ausgezeichnet! Du hast ein gutes Geschäft gemacht, mein Freund! Bis bald!","Ausgezeichnet! Du gemacht ein gutes Geschäft, mein Freund! Bis bald!",Ausgezeichnet; Freund; Geschäft; bald; gemacht; gutes; hast; mein,rozl_obchodnic_ausgezeich_cgIJ; rozl_obchodnik_brillant_d_21ZX
2,2,16,16,likely_foreign_phrase,yes,"Ausgezeichnet! Du hast ein gutes Geschäft gemacht, mein Herr! Lebe wohl!","Ausgezeichnet! Du gemacht ein gutes Geschäft, mein Herr! Lebe wohl!",Ausgezeichnet; Geschäft; Herr; Lebe; gemacht; gutes; hast; mein; wohl,rozl_obchodnic_ausgezeich_EF9v; rozl_obchodnik_brillant_d_YEds
2,2,16,16,likely_foreign_phrase,yes,"Danke. Das war ein gutes Geschäft, mein Herr!","Danke. Das ist gutes Geschäft, mein Herr!",Danke; Geschäft; Herr; gutes; mein,rozl_obchodnic_danke_das__iWvg; rozl_obchodnik_danke_das__xzBu
2,2,16,16,likely_foreign_phrase,yes,"Dankeschön und gute Nacht, mein Herr.","!P Danke schön und gute Nacht, mein Herr.",Dankeschön; Herr; Nacht; gute; mein,muz__muz_prona_rad_sem_ti_e2J3; zena_zena_pron_rada_sem_t_HzBg
2,2,16,16,likely_foreign_phrase,yes,"Es ist eine Sünde, hier mit nacktem Hintern herumzulaufen, mein Freund!","!P Es ist eine Sünde, hier mit nacktem Arsch herumzulaufen, mein Freund! || Es ist eine Sünde, hier mit nacktem Arsch herumzulaufen, mein Freund!",Freund; Hintern; Sünde; eine; herumzulaufen; hier; mein; nacktem,gree_pozdrav_m_es_ist_ein_Yymn; gree_pozdrav_z_es_ist_ein_mw8y
2,2,16,16,likely_foreign_phrase,yes,"Mein Freund, ich wäre jetzt auch gerne betrunken.","!P Mein Freund, ich beneide dich total um deine Trunkenheit. || Mein Freund, ich beneide dich total um deine Trunkenheit.",Freund; Mein; auch; betrunken; gerne; jetzt; wäre,gree_pozdrav_m_mein_freun_NkqT; gree_pozdrav_z_mein_freun_XHAj
2,2,16,16,likely_foreign_phrase,yes,"Servus, mein Freund! Du bist betrunken, stimmt’s?","!P Servus, mein Freund! Du bist betrunken, nicht wahr? || Servus, mein Freund! Du bist betrunken, nicht wahr?",Freund; Servus; betrunken; bist; mein; stimmt’s,gree_pozdrav_m_servus_mei_EhCJ; gree_pozdrav_z_servus_mei_l2Vs
2,2,16,16,likely_foreign_phrase,yes,"Vielen Dank! Es war mir eine Freude, mit dir Geschäfte zu machen, mein Freund!","Vielen Dank! Es war mir eine Freude, mit Dir Geschäfte zu machen, mein Freund!",Dank; Freude; Freund; Geschäfte; Vielen; eine; machen; mein,rozl_obchodnic_vielen_dan_Jbzx; rozl_obchodnik_vielen_dan_zax4
2,2,16,16,likely_foreign_phrase,yes,"Vielen Dank! Es war mir eine Freude, mit dir Geschäfte zu machen, mein Herr!","Vielen Dank! Es war mir eine Freude, mit Dir Geschäfte zu machen, mein Herr!",Dank; Freude; Geschäfte; Herr; Vielen; eine; machen; mein,rozl_obchodnic_vielen_dan_pTFA; rozl_obchodnik_vielen_dan_QDLF
1,1,16,16,likely_foreign_phrase,yes,Aber… Herr Gott! I have no Geld. How much did I drink?,Aber… Herr Gott! I have no geld. How much have I drunk?,Aber; Geld; Gott; Herr,neme_udo_aus_t_aber__herr_EcqX
1,1,16,16,likely_foreign_phrase,yes,"Du hast deinen Kampf gegen die Nüchternheit gewonnen, mein Freund!","!P Du hast das Match gewonnen mit Nüchternheit, mein Freund!",Freund; Kampf; Nüchternheit; deinen; gegen; gewonnen; hast; mein,gree_pozdrav_n_du_hast_da_QPDG
1,1,16,16,likely_foreign_phrase,yes,"Ha … Warum bist du nackt, mein Freund?","!P Heh... Warum bist du nackt, mein Freund?",Freund; Warum; bist; mein; nackt,gree_pozdrav_z_heh_warum__432V
1,1,16,16,likely_foreign_phrase,yes,"He … Warum bist du nackt, mein Freund?","Heh... Warum bist du nackt, mein Freund?",Freund; Warum; bist; mein; nackt,gree_pozdrav_m_heh_warum__lGfp
1,1,16,16,likely_foreign_phrase,yes,"Ich werde es dir gerne erklären, mein Freund.","Ich werde es Ihnen gerne erklären, mein Freund.",Freund; erklären; gerne; mein; werde,eich_cechmistr_ich_werde__giKQ
1,1,16,16,likely_foreign_phrase,yes,"Mein Gott ... Du stinkst ziemlich, weißt du das, Heinrich?","!P Mein Gott... Du stinkst ziemlich, weißt du das, Heinrich?",Gott; Heinrich; Mein; stinkst; weißt; ziemlich,gree_pozdrav_n_mein_gott__6zln
1,1,16,16,likely_foreign_phrase,yes,"Mein Gott … Du siehst furchtbar aus, Mann!","!P Mein Gott... Du siehst furchtbar aus, Mann!",Gott; Mann; Mein; furchtbar; siehst,gree_pozdrav_n_mein_gott__pqL5
1,1,16,16,likely_foreign_phrase,yes,"Mein Gott … Du stinkst ganz schön. Weißt du das, Heinrich?","!P Mein Gott... Du stinkst ziemlich, weißt du das, Heinrich?",Gott; Heinrich; Mein; Weißt; ganz; schön; stinkst,gree_pozdrav_n_mein_gott__ZTEc
1,1,16,16,likely_foreign_phrase,yes,Mein Gott! Warum läufst du hier mit nacktem Hintern herum?!,"Mein Gott! Was tust du, hier mit einem nackten Hintern herumzulaufen?!",Gott; Hintern; Mein; Warum; herum; hier; läufst; nacktem,gree_pozdrav_m_mein_gott__Fipv
1,1,16,16,likely_foreign_phrase,yes,"Mein Gott, I can’t remember what it’s called now, but you go there from Maleshov towards Mesoles.","Mein Gott, I can’t remember what it’s called now, but you go there from Malešov towards Mezholezy.",Gott; Maleshov; Mein; Mesoles,s_kl_cechmistr_mein_gott__3nm3
1,1,16,16,likely_foreign_phrase,yes,"Mein Herr Peter, however, had to pay him a fat Lösegeld to leave us in peace.","!P Mein Herr Peter, however, had to pay him a fat Losegeld to leave us in peace.",Herr; Lösegeld; Mein; Peter,o_zi_hejtman_f_mein_herr__wucU
1,1,16,16,likely_foreign_phrase,yes,"Nich viel. Also nächstes mal wird es hoffentlich besser, mein Herr.","!P Nich viel. Also nächstes mal wird es hoffentlich besser, mein Herr.",Also; Herr; Nich; besser; hoffentlich; mein; nächstes; viel; wird,rozl_louceni_p_nich_viel__ILwf
1,1,16,16,likely_foreign_phrase,yes,"Scheisse, meine Frau…! Warte ab! My wife is far away in Tauber… bis… Tabr-heim… Tau-se… Gott verdammt! TAUBERBISCHOFSHEIM!",Aha… wait… mein frau… mein frau is all the way in Tauber… bis… Tabr-heim… Tau-se… SCHEISSE! TAUBERBISCHOFSHEIM!,Frau; Gott; Scheisse; TAUBERBISCHOFSHEIM; Tabr-heim; Tau-se; Tauber; Warte; meine; verdammt,neme_udo_aus_t_aha__ale_m_bzaK
1,1,16,16,likely_foreign_phrase,yes,Scheiße! Dafür werde ich dich umbringen!,!P Scheisse! Dafür werde ich dich umbringen!,Dafür; Scheiße; dich; umbringen; werde,opon_soldier_v_scheisse_d_bLaC
1,1,16,16,likely_foreign_phrase,yes,"Schön, dich zu sehen, Heinrich! Du hast getrunken, nicht wahr?","Schön Heinrich, schön! Du hast getrunken, nicht wahr?",Heinrich; Schön; dich; getrunken; hast; nicht; sehen; wahr,gree_pozdrav_m_grusse_hei_Q0J5
1,1,16,16,likely_foreign_phrase,yes,"Schönen Tag! Was willst du, mein Freund?","Schönen Tag, was willst du, mein Freund?",Freund; Schönen; mein; willst,gree_pozdrav_m_schonen_ta_jMPe
1,1,16,16,likely_foreign_phrase,yes,"Schönen Tag! Was willst du, mein Herr?","Schönen Tag, was willst du, mein Herr?",Herr; Schönen; mein; willst,gree_pozdrav_m_schonen_ta_4rR6
2,2,15,15,likely_foreign_phrase,yes,"Entschuldige, mein Freund …","Entschuldigung, mein Freund...",Entschuldige; Freund; mein,laze_lazebnice_entschuldi_1zgF; laze_lazebnice_entschuldi_idyy
2,2,15,15,likely_foreign_phrase,yes,"Gott sei mit Euch, mein Herr.","!P Gott sei mit dir, mein Herr.",Euch; Gott; Herr; mein,rozl_rozloucen_gott_sei_m_OlDe; rozl_rozloucen_gott_sei_m_UmNQ
2,2,15,15,likely_foreign_phrase,yes,"Grüß Gott, Freund!","!P Grüss Gott, Mann!",Freund; Gott; Grüß,gree_pozdrav_n_gruss_gott_O07K; horn_pozdrav_h_gruss_gott_kZMq
2,2,15,15,likely_foreign_phrase,yes,"Ja, natürlich mein Herr.","!P Ja, natürlich mein Herr.",Herr; mein; natürlich,muz__hospodsky_ja_naturli_tXxh; zena_hospodska_ja_naturli_M9br
2,2,15,15,likely_foreign_phrase,yes,"Sei gegrüßt, mein Herr.","!P Ich grüsse Sie, mein Herr.",Herr; gegrüßt; mein,priv_obchodnic_ich_grusse_Rplb; priv_obchodnik_ich_grusse_qguD
2,2,15,15,likely_foreign_phrase,yes,"Tschüss, mein Freund!","!P Tschuss, mein Freund!",Freund; Tschüss; mein,endi_rozloucen_tschuss_me_QbOF; endi_rozloucen_tschuss_me_voap
2,2,15,15,likely_foreign_phrase,yes,"Was möchtest du, mein Freund?","Was möchten Sie, mein Freund?",Freund; mein; möchtest,gree_obchodnic_was_mochte_U4AJ; gree_obchodnik_was_mochte_nAjn
2,2,15,15,likely_foreign_phrase,yes,"Was möchtest du, mein Herr?","Was möchten Sie, mein Herr?",Herr; mein; möchtest,gree_obchodnic_was_mochte_I2R2; gree_obchodnik_was_mochte_FHwN
2,2,15,15,likely_foreign_phrase,yes,"Was wünschst du, mein Freund?","Was wünscht du, mein Freund?",Freund; mein; wünschst,gree_obchodnic_was_wunsch_x0F1; gree_obchodnik_was_wunsch_1Vpa
1,1,15,15,likely_foreign_phrase,yes,"Entschuldigung, mein Freund, but you'd better talk about that with Herr von Morgenstern.","!P Entschuldigung, mein Freund, but you'd better talk about that with mein Herr von Morgenstern.",Entschuldigung; Freund; Herr; Morgenstern; mein,o_zi_hagen_tro_entschuldi_YoEJ
1,1,15,15,likely_foreign_phrase,yes,Herr Gott! I love… Kuttenberg!,Hergot! I love… Kuttenberg!,Gott; Herr; Kuttenberg,neme_udo_aus_t_hergot_mil_W9cG
1,1,15,15,likely_foreign_phrase,yes,"Hm, nicht schlecht ... nicht schlecht, mein Freund.","Hm, es ist nicht schlecht... nicht schlecht, mein Freund.",Freund; mein; nicht; schlecht,laze_lazebnice_hm_es_ist__2Q0t
1,1,15,15,likely_foreign_phrase,yes,"Mein Gott, Heinrich… What are you doing?","!P Mein Gott, Heinrich… What are you doing?",Gott; Heinrich; Mein,spol_utok_na_m_mein_gott__H7X0
