"localization_key","speaker_context","original_display_text","foreign_fragment","source_language","verified_meaning","line_type","reference_source","test_status","notes"
"gree_pozdrav_m_gru_gott_w_GE69","greeting line","Grüß Gott! Was brauchst du, mein Freund?","","German","God greet you! What do you need, my friend?","full","manual German translation; Rosetta confirms intentional preservation across official localizations","playtest","v0.2 smoke-test full-foreign subtitle"
"odev_cechmistr_es_ist_nic_df7k","guild-master dialogue","Mein Gott, das ist nicht gut… And do you have any other lead?","Mein Gott, das ist nicht gut…","German","My God, that's not good…","mixed","manual German translation; Rosetta confirms intentional preservation across official localizations","playtest","v0.2 smoke-test mixed-language subtitle"
"gree_pozdrav_m_es_ist_ein_Yymn","greeting/reaction line","Es ist eine Sünde, hier mit nacktem Hintern herumzulaufen, mein Freund!","","German","It's a sin to walk around here with your bare backside, my friend!","full","manual German translation; Rosetta confirms intentional preservation across official localizations","playtest","v0.2 smoke-test full-foreign subtitle"
"kost_kostky_he_das_nenne__P9e5","full-foreign review batch 001","Schlecht für dich, gut für mich, mein Freund.","","German","Bad for you, good for me, my friend.","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"kost_kostky_he_dein_pech__HF0q","full-foreign review batch 001","Schlecht für dich, gut für mich, mein Freund.","","German","Bad for you, good for me, my friend.","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"assa_npc_vidi__hodnej_hod_rjV8","full-foreign review batch 001","Jó fiú. jó fiú. Nem akarsz bántani.","","Hungarian","Good boy. Good boy. You don't want to hurt me.","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"gree_pozdrav_m_mein_freun_Mx1F","full-foreign review batch 001","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","","German","My friend, drunkenness is a sin. Don't overdo it!","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"gree_pozdrav_n_mein_freun_CF1i","full-foreign review batch 001","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","","German","My friend, drunkenness is a sin. Don't overdo it!","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"gree_pozdrav_n_mein_freun_dt9W","full-foreign review batch 001","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","","German","My friend, drunkenness is a sin. Don't overdo it!","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"gree_pozdrav_z_es_ist_ein_mw8y","full-foreign review batch 001","Es ist eine Sünde, hier mit nacktem Hintern herumzulaufen, mein Freund!","","German","It's a sin to walk around here with your bare backside, my friend!","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"gree_pozdrav_z_mein_freun_nNlA","full-foreign review batch 001","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","","German","My friend, drunkenness is a sin. Don't overdo it!","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"gree_pozdrav_m_gru_dich_w_s5Oh","full-foreign review batch 001","Grüß dich! Wie kann ich dir helfen, mein Freund?","","German","Hello! How can I help you, my friend?","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"gree_pozdrav_z_gru_dich_w_oouZ","full-foreign review batch 001","Grüß dich! Wie kann ich dir helfen, mein Freund?","","German","Hello! How can I help you, my friend?","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"kost_kostky_pr_das_ist_ni_1mdO","full-foreign review batch 001","Das ist nicht möglich! Das ist einfach nicht möglich ...","","German","That's not possible! That's simply not possible ...","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"reak_soldier_k_es_ist_vor_L2xk","full-foreign review batch 001","Es ist vorbei, aber das ist nicht gut … Ich blute.","","German","It's over, but that's not good … I'm bleeding.","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"ulri_event_tab_gut_gut_es_bBId","full-foreign review batch 001","Gut, gut, es ist nicht wichtig, doch wir saßen auf einem Stein, und schlugen ein Bein über das andre Bein …","","German","Good, good, it's not important, but we were sitting on a stone, and crossed one leg over the other …","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"gree_pozdrav_m_gru_dich_w_E1vx","full-foreign review batch 001","Grüß dich! Wie kann ich dir helfen, mein Herr?","","German","Hello! How can I help you, sir?","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"gree_pozdrav_z_gru_dich_w_scax","full-foreign review batch 001","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","","German","Hello! How can I help you, sir?","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"tara_taras_mura_ab_insidi_qjH6","full-foreign review batch 001","Ab insidiis diaboli, libera nos, Domine. Benedictus Deus. Gloria patri.","","Latin","From the snares of the devil, deliver us, O Lord. Blessed be God. Glory be to the Father.","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"comb_hejtman_f_hm_ale_jo__hfqM","full-foreign review batch 001","Hmm … Aber ja, warum nicht?","","German","Hmm … But yes, why not?","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"comb_hejtman_s_hm_ale_jo__odQd","full-foreign review batch 001","Hmm … Aber ja, warum nicht?","","German","Hmm … But yes, why not?","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"comb_mikulas_p_ale_jo_pro_CnAL","full-foreign review batch 001","Aber ja, warum nicht?","","German","But yes, why not?","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"rozl_obchodnic_oh_es_ist__ooCf","full-foreign review batch 001","Das ist aber schade, mein Freund.","","German","That's a shame, my friend.","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"rozl_obchodnik_oh_es_ist__BkgQ","full-foreign review batch 001","Das ist aber schade, mein Freund.","","German","That's a shame, my friend.","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"vyzv_arne_nemec_das_ist_n_KByO","full-foreign review batch 001","Das ist nicht gut, Menhard. Es ist ungerecht!","","German","That's not good, Menhard. It's unjust!","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"goss_situace_z_ich_verste_2R3U","full-foreign review batch 001","Ich verstehe kein Wort, aber das macht nichts!","","German","I don't understand a word, but that doesn't matter!","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"gree_pozdrav_n_mein_freun_KxnG","full-foreign review batch 001","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","","German","My friend, I completely envy you your drunkenness.","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"gree_pozdrav_n_mein_freun_nrPi","full-foreign review batch 001","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","","German","My friend, I completely envy you your drunkenness.","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"muz__hospodsky_ja_naturli_tXxh","full-foreign review batch 001","Ja, natürlich mein Herr.","","German","Yes, of course, sir.","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"pozd_uctivy_po_gru_gott_m_4JK4","full-foreign review batch 001","Grüß Gott, mein Herr!","","German","God greet you, sir!","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"pozd_uctivy_po_gru_gott_m_Zh06","full-foreign review batch 001","Grüß Gott, mein Herr!","","German","God greet you, sir!","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"rozl_louceni_p_warum_halt_S3rF","full-foreign review batch 001","Warum hältst du mich auf, wenn du nichts brauchst?","","German","Why are you stopping me if you don't need anything?","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"ulri_event_tab_gott_zum_g_D7ro","full-foreign review batch 001","Gott zum Gruße, mein Freund! Ulrich von Remold, ein Dichter und ein Pilger im Land der Narren.","","German","God greet you, my friend! Ulrich von Remold, a poet and a pilgrim in the land of fools.","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"zena_hospodska_ja_naturli_M9br","full-foreign review batch 001","Ja, natürlich mein Herr.","","German","Yes, of course, sir.","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
"gree_pozdrav_m_mein_gott__Fipv","full-foreign review batch 001","Mein Gott! Warum läufst du hier mit nacktem Hintern herum?!","","German","My God! Why are you running around here with your bare backside?!","full","FTFL full-foreign batch 001 manual/model review","playtest","broad stability build; preserve original performance and add English meaning"
