localization_key,score,reasons,English_reference,English_display,preserved_tokens,preserved_in_locales
adam_adam_maji_stezuje_si_9zQS,7,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Schindel,He complained to the council mainly because Goatskin nicked some… learned stuff of his. He's one of them fanatic nutters.,Schindel complained to the council mainly because Goatskin nicked some… scholarly stuff of his. He's one of them fanatic crackpots.,Schindel,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
adle_adleta_nejsem_kurva__a6Dr,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Casper | preserved token(s) also present in English reference,Casper? The poor thing got a proper roasting from my father… How is he?,Casper? The poor thing got a proper hiding from my father… How is he?,Casper,French; Italian; Portuguese; Spanish; Turkish; Vietnamese
afte_hejtamn_f_na_und_es__5BH3,8,"English reference/display differ | token(s) preserved across 3+ localized displays: doch, oder, mein, Freund | preserved token(s) also present in English reference","!P Na und? Es ist doch gut, oder? May it serve you in good health, Mein Freund.","Na und? Es ist doch gut, oder? May it serve you in good health, mein Freund.",doch; oder; mein; Freund,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
afte_hejtamn_f_oh_ja_ja_d_HjZH,8,"English reference/display differ | token(s) preserved across 3+ localized displays: hast, gemacht, mein, Freund | preserved token(s) also present in English reference","!P Oh ja, ja, das haben Sie gut gemacht, mein Freund!","Oh ja, ja, das hast du gut gemacht, mein Freund!",hast; gemacht; mein; Freund,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
afte_hejtman_s_hm_tak_to__VjC7,8,"English reference/display differ | token(s) preserved across 3+ localized displays: hast, gemacht, mein, Freund | preserved token(s) also present in English reference","!P Oh ja, ja, das haben Sie gut gemacht, mein Freund!","Oh ja, ja, das hast du gut gemacht, mein Freund!",hast; gemacht; mein; Freund,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
afte_hejtman_s_tak_co_dob_qmKS,8,"English reference/display differ | token(s) preserved across 3+ localized displays: doch, oder, mein, Freund | preserved token(s) also present in English reference","!P Na und? Es ist doch gut, oder? May it serve you in good health, Mein Freund.","Na und? Es ist doch gut, oder? May it serve you in good health, mein Freund.",doch; oder; mein; Freund,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
afte_mikulas_c_hm_ale_jo__1J9J,8,"English reference/display differ | token(s) preserved across 3+ localized displays: doch, oder, mein, Freund | preserved token(s) also present in English reference","!P Na und? Es ist doch gut, oder? May it serve you in good health, Mein Freund.","Na und? Es ist doch gut, oder? May it serve you in good health, mein Freund.",doch; oder; mein; Freund,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
afte_mikulas_c_jo_myslim__8SIN,8,"English reference/display differ | token(s) preserved across 3+ localized displays: hast, gemacht, mein, Freund | preserved token(s) also present in English reference","!P Oh ja, ja, das haben Sie gut gemacht, mein Freund!","Oh ja, ja, das hast du gut gemacht, mein Freund!",hast; gemacht; mein; Freund,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
albi_albik_rea_jindrichu__h7Ad,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Henry | preserved token(s) also present in English reference,"Henry, don’t do it!","Henry, don’t do it!",Henry,French; Italian; Portuguese; Spanish; Turkish; Vietnamese
albi_albik_z_u_hnali_jsme_icDA,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Pürglitz | preserved token(s) also present in English reference,"We rushed to Pürglitz, where I found Wenceslas, moaning in pain while his alchemists bathed him in various oils.","We rushed to Pürglitz, where I found Wenceslas, moaning in pain while his alchemists bathed him in various oils.",Pürglitz,French; German; Portuguese; Turkish; Vietnamese
