localization_key,score,reasons,English_reference,English_display,preserved_tokens,preserved_in_locales
adle_henry_a_kaspar_havel_8awu,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Casper, Havel, Rudolf | preserved token(s) also present in English reference","Ande Casper Havel… no, Rudolf Havel... I mean, Casper Rudolf wants me to pretend to be Havel.","Casper Havel… no, Rudolf Havel... I mean, Casper Rudolf wants me to pretend to be Havel.",Casper; Havel; Rudolf,Czech; French; German; Italian; Polish; Portuguese; Spanish; Turkish; Vietnamese
aren_henry_ja_se_jmenuju__IXqV,9,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Henry, Sedletz, Albich | preserved token(s) also present in English reference","My name’s Henry. I came to Sedletz with Master Albich, I’m his protector.","My name’s Henry. I came to Sedletz with Master Albich, I’m his protector.",Henry; Sedletz; Albich,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
arne_arne_nemec_aber_dann_1d9Y,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Aber, dann, hatte, sehr, großes, Problem | preserved token(s) also present in English reference",!P Aber dann have they caught me stealing und ich hatte ein sehr großes Problem.,Aber dann have they caught me stealing und ich hatte ein sehr großes Problem.,Aber; dann; hatte; sehr; großes; Problem,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
arne_arne_nemec_fechten_s_kCiC,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Fechten, teuer, Spass, Geld, dafür | preserved token(s) also present in English reference","Learning Fechten is teuer Spass, so first I had to earn Geld dafür.","Learning Fechten is teuer Spass, so first I had to earn Geld dafür.",Fechten; teuer; Spass; Geld; dafür,Chineses; Chineset; Czech; French; German; Italian; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_ja_ja_got_yNSw,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Gott, Dank | preserved token(s) also present in English reference","!P Ja, ja… Gott sei Dank.","Ja, ja … Gott sei Dank.",Gott; Dank,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_ja_ted_na_yWxZ,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: könnte, sagen | preserved token(s) also present in English reference","!P I see the world with new eyes now, mann kann sagen.","I see the world with new eyes now, könnte man sagen.",könnte; sagen,Chineses; Chineset; Czech; French; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_jetzt_geh_buSj,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Jetzt, geht’s | preserved token(s) also present in English reference",!P Jetzt geht's los!,Jetzt geht’s los!,Jetzt; geht’s,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_kdyz_pak__7Dl6,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Meister, Menhard, Böhmen | preserved token(s) also present in English reference","!P Then when Meister Menhard has gone to Böhmen, I go with him.","Then when Meister Menhard has gone to Böhmen, I go with him.",Meister; Menhard; Böhmen,Czech; French; German; Italian; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_nechci_mo_mUa4,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Menhard, alles, beigebracht | preserved token(s) also present in English reference","!P I do not want to say much. Einfach, Menhard has me alles... beigebracht... taught me.","I do not want to say much. Nur, Menhard has me alles … beigebracht … taught me.",Menhard; alles; beigebracht,Chineses; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_pohledte__P2ST,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Hört, gute, Menschen | preserved token(s) also present in English reference","Hören Sie, alle Menschen! Listen, everyone!","Hört zu, gute Menschen! Listen, everyone!",Hört; gute; Menschen,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
