localization_key,classification,revised_score,score,preserved_tokens,classification_notes,Chineses_reference,Chineses_display,Chineset_reference,Chineset_display,Czech_reference,Czech_display,English_reference,English_display,French_reference,French_display,German_reference,German_display,Italian_reference,Italian_display,Japanese_reference,Japanese_display,Korean_reference,Korean_display,Polish_reference,Polish_display,Portuguese_reference,Portuguese_display,Russian_reference,Russian_display,Spanish_reference,Spanish_display,Turkish_reference,Turkish_display,Ukrainian_reference,Ukrainian_display,Vietnamese_reference,Vietnamese_display,review_source_language,review_verified_meaning,review_line_type,review_status,review_notes
gree_pozdrav_m_gru_gott_w_GE69,likely_foreign_phrase,18,11,Grüß; Gott; brauchst; mein; Freund,"foreign-lexicon hit(s): Gott, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, gott, mein","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was du brauchst, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was du brauchst, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott ! Was brauchst du, mein Freund ?","Grüß Gott! Was brauchst du, mein Freund?","*Grüß Gott! Was brauchst du, mein Freund?*","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","¡Grüß Gott! ¿Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?",,,,,
gree_pozdrav_m_gru_gott_w_HOdz,likely_foreign_phrase,18,11,Grüß; Gott; brauchst; mein; Herr,"foreign-lexicon hit(s): Gott, mein, Herr | multiple preserved tokens | foreign lexicon visible in English display: gott, herr, mein","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was du brauchst, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was du brauchst, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","¡Grüß Gott! ¿Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?",,,,,
gree_pozdrav_n_mein_freun_CF1i,likely_foreign_phrase,18,11,Mein; Freund; Trunkenheit; eine; Sünde; Übertreibe; nicht,"foreign-lexicon hit(s): Mein, Freund, nicht | multiple preserved tokens | foreign lexicon visible in English display: freund, mein, nicht","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","!P Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. ¡Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",,,,,
gree_pozdrav_n_mein_freun_dt9W,likely_foreign_phrase,18,11,Mein; Freund; Trunkenheit; eine; Sünde; Übertreibe; nicht,"foreign-lexicon hit(s): Mein, Freund, nicht | multiple preserved tokens | foreign lexicon visible in English display: freund, mein, nicht","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","!P Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. ¡Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",,,,,
gree_pozdrav_z_gru_dich_w_oouZ,likely_foreign_phrase,18,11,Grüß; dich; kann; helfen; mein; Freund,"foreign-lexicon hit(s): dich, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: dich, freund, mein","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","!P Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?",どうも！  何か力になれることはある？,"Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","¡Grüß dich! ¿Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?",,,,,
gree_pozdrav_z_gru_gott_w_1JKA,likely_foreign_phrase,18,11,Grüß; Gott; brauchst; mein; Freund,"foreign-lexicon hit(s): Gott, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, gott, mein","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was du brauchst, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","!P Grüß Gott! Was du brauchst, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","¡Grüß Gott! ¿Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?",,,,,
gree_pozdrav_z_gru_gott_w_FxYm,likely_foreign_phrase,18,11,Grüß; Gott; brauchen; mein; Herr,"foreign-lexicon hit(s): Gott, mein, Herr | multiple preserved tokens | foreign lexicon visible in English display: gott, herr, mein","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was du brauchst, mein Herr?","Grüß Gott! Was du brauchst, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","!P Grüß Gott! Was du brauchst, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott ! Was brauchen Sie, mein Herr ?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was du brauchst, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","¡Grüß Gott! ¿Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen du, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?",,,,,
gree_pozdrav_z_mein_freun_nNlA,likely_foreign_phrase,18,11,Mein; Freund; Trunkenheit; eine; Sünde; Übertreibe; nicht,"foreign-lexicon hit(s): Mein, Freund, nicht | multiple preserved tokens | foreign lexicon visible in English display: freund, mein, nicht","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","!P Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. ¡Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",,,,,
kost_kostky_he_dein_pech__HF0q,likely_foreign_phrase,18,11,Schlecht; dich; mich; mein; Freund,"foreign-lexicon hit(s): dich, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: dich, freund, mein","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.（你賠了，我就賺到啦，朋友。）","Dein Pech, mein Glück, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Dein Pech, mein Glück, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.","Schlecht für dich, gut für mich, mein Freund.",,,,,
pozd_uctivy_po_gru_gott_m_Zh06,likely_foreign_phrase,18,11,Grüß; Gott; mein; Herr,"foreign-lexicon hit(s): Gott, mein, Herr | multiple preserved tokens | foreign lexicon visible in English display: gott, herr, mein","Grüß Gott, mein Herr!","Grüss Gott, mein Herr!","Grüß Gott, mein Herr!","Grüss Gott, mein Herr!（你好，大人！）","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüss Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüss Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","¡Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!",,,,,
