localization_key,English_reference,Chineses_display,Chineset_display,Czech_display,English_display,French_display,German_display,Italian_display,Japanese_display,Korean_display,Polish_display,Portuguese_display,Russian_display,Spanish_display,Turkish_display,Ukrainian_display,Vietnamese_display
goss_gossip_sp_bite_sejn__B1Yi,A sheinem dank… aber neyn. I don't want to risk it.,非常感谢…但还是别了。我不想冒这个险。,A sheinem dank… aber neyn（謝謝你，不過請容我拒絕。）我不想冒不必要的風險。,A šejnem dank... aber nejn. Tohle nechci riskovat.,!P A sheinem dank… aber neyn. I don't want to risk it.,A sheinem dank… aber neyn. Je ne veux pas prendre de risque.,A sheinem dank ... aber neyn. Das wage ich lieber nicht.,A sheinem dank… aber neyn. Non voglio rischiare.,ありがたいけど… いいわ 危険を冒したくない,A sheinem dank… aber neyn. 난 위험은 감수하긴 싫어.,A sheinem dank... aber neyn. Wolę nie ryzykować.,A sheinem dank… aber nein. Não quero arriscar.,A sheinem dank… aber neyn. Я не хочу рисковать.,A sheinem dank… Aber neyn. Prefiero no jugármela.,A sheinem dank… aber neyn. Risk almak istemiyorum.,!P A sheinem dank… aber neyn. I don't want to risk it.,"Biết là tốt bụng, nhưng thôi đi, tao không muốn rước họa vô thân."
endi_rozloucen_bis_bald_m_7udN,"!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!","!P Bis bald, Mein Herr!"
gree_pozdrav_z_bist_du_mo_PSvc,"!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?","!P Bist du morgens als erstes betrunken, Heinrich?"
hosp_hospodska_bite_sejn_qGxi,Bite schon!,!P Bite schein!,!P Bite schein!（謝謝光臨！）,Bite šejn!,!P Bite schein!,!P Bite schein!,Bite schein!,!P Bite schein!,!P Bite schein!,Bite schein!,!P Bite szejn!,!P Bite schein!,!P Bite schein!,!P Bite schein!,Bite schein!,!P Bite schein!,!P Bite schein!
krov_kostkar_k_devla_miro_0KC3,Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?,Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?,!P Devla miro! So hin oda?
gree_pozdrav_n_du_bist_be_BNvT,"!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?","!P Du bist betrunken, nicht wahr?"
gree_pozdrav_n_du_bist_be_LQIu,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!
gree_pozdrav_n_du_bist_ei_ptsl,"!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund."
gree_pozdrav_z_du_bist_gu_vXpt,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?,!P Du bist gut betrunken? Was ist los?
gree_pozdrav_z_du_stinkst_Y90Z,"!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?","!P Du stinkst ziemlich, weißt du das?"
