localization_key,speaker_context,original_display_text,foreign_fragment,source_language,verified_meaning,line_type,reference_source,test_status,notes
assa_pratelske_scheisse_I25T,source-driven translation batch 001,Scheiße!,,German,Shit!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
bff__hrac_pochvalen_bud_n_Nj1A,source-driven translation batch 001,Servus!,,German,Hello!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
chat_ptacek_audentes_fort_vocC,source-driven translation batch 001,Audentes fortuna iuvat!,,Latin,Fortune favors the bold!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
endi_rozloucen_auf_wieder_T6YC,source-driven translation batch 001,Auf Wiedersehen!,,German,Goodbye!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
endi_rozloucen_bis_bald_di7o,source-driven translation batch 001,Bis bald!,,German,See you soon!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
endi_rozloucen_salom_alej_41QQ,source-driven translation batch 001,Sholem aleykhem!,,Yiddish/Hebrew,Peace be upon you!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
endi_rozloucen_zaj_gezunt_5XCA,source-driven translation batch 001,Zay gezunt!,,Yiddish,Be well!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
goss_gossip_na_och_BiC6,source-driven translation batch 001,Mein Gott!,,German,My God!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
goss_gossip_ob_masa_umata_kwzj,0.2.6 mandatory regression,Masa u-matan tov!,,Hebrew,Good business!,full,FTFL multilingual Rosetta context; Hebrew masa u-matan = negotiation/business dealings,0.2.6 mandatory regression,mandatory 0.2.6 regression line
gree_obchodnic_was_willst_1SG8,source-driven translation batch 001,Was willst du?,,German,What do you want?,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
gree_obchodnik_was_ist_lo_AJJT,source-driven translation batch 001,Was ist los?,,German,What's wrong?,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
gree_pozdrav_m_aaah_laso__lX0g,0.2.6 mandatory regression,Ahh… Te del o Del lacho dives!,,Romani,Ahh... May God give you a good day!,full,FTFL multilingual Rosetta context; Romani phrase reference,0.2.6 mandatory regression,mandatory 0.2.6 regression line
gree_pozdrav_m_gut_margn_h4P5,0.2.6 mandatory regression,Gut margn!,,Yiddish,Good morning!,full,FTFL multilingual Rosetta context; Yiddish linguistic review,0.2.6 mandatory regression,mandatory 0.2.6 regression line
gree_pozdrav_m_guten_aben_Qxwg,source-driven translation batch 001,Guten Abend!,,German,Good evening!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
gree_pozdrav_m_kames_vare_GMEq,0.2.6 mandatory regression,Kames vareso?,,Romani,Do you want something?,full,FTFL multilingual Rosetta context; Romani linguistic review,0.2.6 mandatory regression,mandatory 0.2.6 regression line
gree_pozdrav_m_oh_devla_gQ7a,0.2.6 mandatory regression,Oh Devla!,,Romani,Oh God!,full,FTFL multilingual Rosetta context; Romani linguistic review,0.2.6 mandatory regression,mandatory 0.2.6 regression line
gree_pozdrav_m_so_rodes_0XJK,0.2.6 mandatory regression,So rodes?,,Romani,What are you looking for?,full,"FTFL multilingual Rosetta context; existing approved So rodes, goro? family",0.2.6 mandatory regression,mandatory 0.2.6 regression line
gree_pozdrav_m_taves_bach_CsvT,0.2.6 mandatory regression,T'aves bachtalo!,,Romani,Good luck!,full,FTFL multilingual Rosetta context; Romani greeting formula verified against Ružake gila,0.2.6 mandatory regression,mandatory 0.2.6 regression line
gree_pozdrav_n_guten_tag_P7yn,source-driven translation batch 001,Guten Tag!,,German,Good day!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
gree_pozdrav_n_mein_gott__USlZ,source-driven translation batch 001,Was soll das?,,German,What's that supposed to mean?,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
gree_pozdrav_n_servus_mann_9uX4,source-driven translation batch 001,Grüß dich!,,German,Hello!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
gree_pozdrav_z_mazel_tov_ZBBA,source-driven translation batch 001,Mazl tov!,,Yiddish/Hebrew,Congratulations!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
henr_menhart_z_verstehen__edkX,source-driven translation batch 001,"Verstanden, Ratsherr. Danke.",,German,"Understood, Councillor. Thank you.",full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
hosp_hospodska_nicht_viel_nJz2,source-driven translation batch 001,Nicht viel.,,German,Not much.,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
hosp_hospodska_uf_borech__Rrni,source-driven translation batch 001,Borekh ha-shem!,,Yiddish/Hebrew,Blessed be the Name!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
