localization_key,classification,revised_score,score,English_reference,English_display,preserved_tokens,classification_notes,review_language,review_meaning,review_line_type,review_status,review_notes
gree_pozdrav_m_gru_gott_w_GE69,likely_foreign_phrase,18,11,"Grüß Gott! Was du brauchst, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?",Grüß; Gott; brauchst; mein; Freund,"foreign-lexicon hit(s): Gott, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, gott, mein",,,,,
gree_pozdrav_m_gru_gott_w_HOdz,likely_foreign_phrase,18,11,"Grüß Gott! Was du brauchst, mein Herr?","Grüß Gott! Was brauchst du, mein Herr?",Grüß; Gott; brauchst; mein; Herr,"foreign-lexicon hit(s): Gott, mein, Herr | multiple preserved tokens | foreign lexicon visible in English display: gott, herr, mein",,,,,
gree_pozdrav_n_mein_freun_CF1i,likely_foreign_phrase,18,11,"!P Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",Mein; Freund; Trunkenheit; eine; Sünde; Übertreibe; nicht,"foreign-lexicon hit(s): Mein, Freund, nicht | multiple preserved tokens | foreign lexicon visible in English display: freund, mein, nicht",,,,,
gree_pozdrav_n_mein_freun_dt9W,likely_foreign_phrase,18,11,"!P Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",Mein; Freund; Trunkenheit; eine; Sünde; Übertreibe; nicht,"foreign-lexicon hit(s): Mein, Freund, nicht | multiple preserved tokens | foreign lexicon visible in English display: freund, mein, nicht",,,,,
gree_pozdrav_z_gru_dich_w_oouZ,likely_foreign_phrase,18,11,"!P Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?",Grüß; dich; kann; helfen; mein; Freund,"foreign-lexicon hit(s): dich, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: dich, freund, mein",,,,,
gree_pozdrav_z_gru_gott_w_1JKA,likely_foreign_phrase,18,11,"!P Grüß Gott! Was du brauchst, mein Freund?","Grüß Gott! Was brauchst du, mein Freund?",Grüß; Gott; brauchst; mein; Freund,"foreign-lexicon hit(s): Gott, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, gott, mein",,,,,
gree_pozdrav_z_gru_gott_w_FxYm,likely_foreign_phrase,18,11,"!P Grüß Gott! Was du brauchst, mein Herr?","Grüß Gott! Was brauchen Sie, mein Herr?",Grüß; Gott; brauchen; mein; Herr,"foreign-lexicon hit(s): Gott, mein, Herr | multiple preserved tokens | foreign lexicon visible in English display: gott, herr, mein",,,,,
gree_pozdrav_z_mein_freun_nNlA,likely_foreign_phrase,18,11,"!P Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",Mein; Freund; Trunkenheit; eine; Sünde; Übertreibe; nicht,"foreign-lexicon hit(s): Mein, Freund, nicht | multiple preserved tokens | foreign lexicon visible in English display: freund, mein, nicht",,,,,
kost_kostky_he_dein_pech__HF0q,likely_foreign_phrase,18,11,"Dein Pech, mein Glück, mein Freund.","Schlecht für dich, gut für mich, mein Freund.",Schlecht; dich; mich; mein; Freund,"foreign-lexicon hit(s): dich, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: dich, freund, mein",,,,,
pozd_uctivy_po_gru_gott_m_Zh06,likely_foreign_phrase,18,11,"Grüss Gott, mein Herr!","Grüß Gott, mein Herr!",Grüß; Gott; mein; Herr,"foreign-lexicon hit(s): Gott, mein, Herr | multiple preserved tokens | foreign lexicon visible in English display: gott, herr, mein",,,,,
ulri_event_tab_gott_zum_g_D7ro,likely_foreign_phrase,18,11,"Gott zum Gruße, mein Freund! Ulrich von Remold, ein dichter und ein Pilger im Land der Narren.","Gott zum Gruße, mein Freund! Ulrich von Remold, ein Dichter und ein Pilger im Land der Narren.",Gott; Gruße; mein; Freund; Ulrich; Remold; Dichter; Pilger; Land; Narren,"foreign-lexicon hit(s): Gott, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, gott, mein",,,,,
vrac_kradene_z_gott_moge__slhC,likely_foreign_phrase,18,11,"Gott möge Ihre Hand führen, mein Freund.","Möge Gott mit dir sein, mein Freund.",Möge; Gott; sein; mein; Freund,"foreign-lexicon hit(s): Gott, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, gott, mein",,,,,
gree_pozdrav_m_gru_dich_w_E1vx,likely_foreign_phrase,17,10,"Grüß dich! Wie kann ich dir helfen, mein Herr?","Grüß dich! Wie kann ich dir helfen, mein Herr?",Grüß; dich; kann; helfen; mein; Herr,"foreign-lexicon hit(s): dich, mein, Herr | multiple preserved tokens | foreign lexicon visible in English display: dich, herr, mein",,,,,
gree_pozdrav_m_gru_dich_w_s5Oh,likely_foreign_phrase,17,10,"Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?",Grüß; dich; kann; helfen; mein; Freund,"foreign-lexicon hit(s): dich, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: dich, freund, mein",,,,,
gree_pozdrav_m_mein_freun_Mx1F,likely_foreign_phrase,17,10,"Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",Mein; Freund; Trunkenheit; eine; Sünde; Übertreibe; nicht,"foreign-lexicon hit(s): Mein, Freund, nicht | multiple preserved tokens | foreign lexicon visible in English display: freund, mein, nicht",,,,,
gree_pozdrav_z_gru_dich_w_scax,likely_foreign_phrase,17,10,"!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?",Grüß; dich; kann; helfen; mein; Herr,"foreign-lexicon hit(s): dich, mein, Herr | multiple preserved tokens | foreign lexicon visible in English display: dich, herr, mein",,,,,
kost_kostky_he_das_nenne__P9e5,likely_foreign_phrase,17,10,Das nenne ich Pech!,"Schlecht für dich, gut für mich, mein Freund.",Schlecht; dich; mich; mein; Freund,"foreign-lexicon hit(s): dich, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: dich, freund, mein",,,,,
odev_cechmistr_es_ist_nic_df7k,likely_foreign_phrase,17,10,"Mein Gott, es ist nicht gut… And do you have any other lead?","Mein Gott, das ist nicht gut… And do you have any other lead?",Mein; Gott; nicht,"foreign-lexicon hit(s): Mein, Gott, nicht | multiple preserved tokens | foreign lexicon visible in English display: gott, mein, nicht",,,,,
pozd_pozdrav_n_schon_dich_51zb,likely_foreign_phrase,17,10,"Schön dich zu sehen, mein Freund!","Schön dich zu sehen, mein Freund!",Schön; dich; sehen; mein; Freund,"foreign-lexicon hit(s): dich, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: dich, freund, mein",,,,,
pozd_pozdrav_n_schon_dich_jmpr,likely_foreign_phrase,17,10,"Schön dich zu sehen, mein Freund!","Schön dich zu sehen, mein Freund!",Schön; dich; sehen; mein; Freund,"foreign-lexicon hit(s): dich, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: dich, freund, mein",,,,,
pozd_uctivy_po_gru_gott_m_4JK4,likely_foreign_phrase,17,10,"Grüß Gott, mein Herr!","Grüß Gott, mein Herr!",Grüß; Gott; mein; Herr,"foreign-lexicon hit(s): Gott, mein, Herr | multiple preserved tokens | foreign lexicon visible in English display: gott, herr, mein",,,,,
vrac_kradene_z_gott_moge__SOhH,likely_foreign_phrase,17,10,"Vielen Dank. Gott möge Ihre Hand führen, mein Freund.","Vielen Dank. Gott möge Ihre Hand führen, mein Freund.",Vielen; Dank; Gott; möge; Ihre; Hand; führen; mein; Freund,"foreign-lexicon hit(s): Gott, mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, gott, mein",,,,,
eich_cechmistr_ich_werde__giKQ,likely_foreign_phrase,16,11,"Ich werde es Ihnen gerne erklären, mein Freund.","Ich werde es dir gerne erklären, mein Freund.",werde; gerne; erklären; mein; Freund,"foreign-lexicon hit(s): mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, mein",,,,,
gree_pozdrav_m_es_ist_ein_Yymn,likely_foreign_phrase,16,11,"Es ist eine Sünde, hier mit nacktem Arsch herumzulaufen, mein Freund!","Es ist eine Sünde, hier mit nacktem Hintern herumzulaufen, mein Freund!",eine; Sünde; hier; nacktem; Hintern; herumzulaufen; mein; Freund,"foreign-lexicon hit(s): mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, mein",,,,,
gree_pozdrav_m_grusse_hei_Q0J5,likely_foreign_phrase,16,11,"Schön Heinrich, schön! Du hast getrunken, nicht wahr?","Schön, dich zu sehen, Heinrich! Du hast getrunken, nicht wahr?",Schön; dich; sehen; Heinrich; hast; getrunken; nicht; wahr,"foreign-lexicon hit(s): dich, nicht | multiple preserved tokens | foreign lexicon visible in English display: dich, nicht",,,,,
gree_pozdrav_m_heh_warum__lGfp,likely_foreign_phrase,16,11,"Heh... Warum bist du nackt, mein Freund?","He … Warum bist du nackt, mein Freund?",Warum; bist; nackt; mein; Freund,"foreign-lexicon hit(s): mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, mein",,,,,
gree_pozdrav_m_mein_freun_NkqT,likely_foreign_phrase,16,11,"Mein Freund, ich beneide dich total um deine Trunkenheit.","Mein Freund, ich wäre jetzt auch gerne betrunken.",Mein; Freund; wäre; jetzt; auch; gerne; betrunken,"foreign-lexicon hit(s): Mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, mein",,,,,
gree_pozdrav_m_mein_gott__Fipv,likely_foreign_phrase,16,11,"Mein Gott! Was tust du, hier mit einem nackten Hintern herumzulaufen?!",Mein Gott! Warum läufst du hier mit nacktem Hintern herum?!,Mein; Gott; Warum; läufst; hier; nacktem; Hintern; herum,"foreign-lexicon hit(s): Mein, Gott | multiple preserved tokens | foreign lexicon visible in English display: gott, mein",,,,,
gree_pozdrav_m_schonen_ta_4rR6,likely_foreign_phrase,16,11,"Schönen Tag, was willst du, mein Herr?","Schönen Tag! Was willst du, mein Herr?",Schönen; willst; mein; Herr,"foreign-lexicon hit(s): mein, Herr | multiple preserved tokens | foreign lexicon visible in English display: herr, mein",,,,,
gree_pozdrav_m_schonen_ta_jMPe,likely_foreign_phrase,16,11,"Schönen Tag, was willst du, mein Freund?","Schönen Tag! Was willst du, mein Freund?",Schönen; willst; mein; Freund,"foreign-lexicon hit(s): mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, mein",,,,,
gree_pozdrav_m_servus_mei_EhCJ,likely_foreign_phrase,16,11,"Servus, mein Freund! Du bist betrunken, nicht wahr?","Servus, mein Freund! Du bist betrunken, stimmt’s?",Servus; mein; Freund; bist; betrunken; stimmt’s,"foreign-lexicon hit(s): mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, mein",,,,,
gree_pozdrav_n_du_hast_da_QPDG,likely_foreign_phrase,16,11,"!P Du hast das Match gewonnen mit Nüchternheit, mein Freund!","Du hast deinen Kampf gegen die Nüchternheit gewonnen, mein Freund!",hast; deinen; Kampf; gegen; Nüchternheit; gewonnen; mein; Freund,"foreign-lexicon hit(s): mein, Freund | multiple preserved tokens | foreign lexicon visible in English display: freund, mein",,,,,
gree_pozdrav_n_mein_gott__6zln,likely_foreign_phrase,16,11,"!P Mein Gott... Du stinkst ziemlich, weißt du das, Heinrich?","Mein Gott ... Du stinkst ziemlich, weißt du das, Heinrich?",Mein; Gott; stinkst; ziemlich; weißt; Heinrich,"foreign-lexicon hit(s): Mein, Gott | multiple preserved tokens | foreign lexicon visible in English display: gott, mein",,,,,
gree_pozdrav_n_mein_gott__ZTEc,likely_foreign_phrase,16,11,"!P Mein Gott... Du stinkst ziemlich, weißt du das, Heinrich?","Mein Gott … Du stinkst ganz schön. Weißt du das, Heinrich?",Mein; Gott; stinkst; ganz; schön; Weißt; Heinrich,"foreign-lexicon hit(s): Mein, Gott | multiple preserved tokens | foreign lexicon visible in English display: gott, mein",,,,,
