representative_key,family_size,source_score,signal_languages,strong_preserved_tokens,very_strong_content_ratio,strong_content_ratio,English_display,English_reference,translation_status,source_language,verified_meaning,notes
gree_obchodnik_solem_0KZs,25,24,,sholem,1.000,1.000,Sholem!,Sholem!,NEEDS_TRANSLATION,,,
endi_rozloucen_auf_wieder_T6YC,18,46,german,auf; wiedersehen,1.000,1.000,Auf Wiedersehen!,!P Auf Wiedersehen!,NEEDS_TRANSLATION,,,
bark_henry_tak_kudy_CI5K,15,23,,sakra,1.000,1.000,Sakra!,Sakra!,NEEDS_TRANSLATION,,,
pozd_npc_zdrav_gru_gott_9KrT,14,41,german,grüss; gott,1.000,1.000,Grüß Gott!,Grüß Gott!,NEEDS_TRANSLATION,,,
gree_obchodnik_was_ist_lo_AJJT,13,41,german,ist; los,1.000,1.000,Was ist los?,Was ist los?,NEEDS_TRANSLATION,,,
gree_pozdrav_n_co_chces_MZtE,13,26,,need,1.000,1.000,What do you need?,What do you need?,NEEDS_TRANSLATION,,,
hosp_hospodska_uf_borech__Rrni,12,45,yiddish_hebrew,borekh; ha-shem,1.000,1.000,Borekh ha-shem!,"!P Uf, Borech ha-shem!",NEEDS_TRANSLATION,,,
rozl_rozloucen_tschuss_CM0e,12,32,,tschüss,1.000,1.000,Tschüss!,!P Tschuss!,NEEDS_TRANSLATION,,,
gree_pozdrav_n_guten_tag_P7yn,11,44,,guten; tag,1.000,1.000,Guten Tag!,!P Guten Tag!,NEEDS_TRANSLATION,,,
hosp_hospodsky_chomec_ben_VFuF,11,42,,khometz; ben-yayen,1.000,1.000,Khometz ben-yayen!,!P Chometz ben yayen!,NEEDS_TRANSLATION,,,
bezn_npc_reagu_vos_machst_W5F6,10,44,,vos; makhst,1.000,1.000,Vos makhst du?,Vos machst du?,NEEDS_TRANSLATION,,,
endi_rozloucen_zaj_gezunt_5XCA,10,43,,zay; gezunt,1.000,1.000,Zay gezunt!,!P Greetings!,NEEDS_TRANSLATION,,,
goss_gossip_na_och_BiC6,10,41,german,mein; gott,1.000,1.000,Mein Gott!,Mein gott!,NEEDS_TRANSLATION,,,
endi_rozloucen_salom_alej_41QQ,10,40,,sholem; aleykhem,1.000,1.000,Sholem aleykhem!,!P Shalom alejchem!,NEEDS_TRANSLATION,,,
gree_pozdrav_m_co_ches_Op8L,10,26,,want,1.000,1.000,What do you want?,What do you want?,NEEDS_TRANSLATION,,,
endi_rozloucen_bachtalo_t_5LpY,9,56,,bakhtalo; tiro; drom,1.000,1.000,Bakhtalo tiro drom!,!T Bakhtalo tiro drom!,NEEDS_TRANSLATION,,,
gree_pozdrav_n_servus_mann_9uX4,9,45,german,grüss; dich,1.000,1.000,Grüß dich!,!P Gruss dich!,NEEDS_TRANSLATION,,,
pozd_pozdrav_n_gott_segne_4flq,8,53,german,gott; segne; dich,1.000,1.000,Gott segne dich!,Gott segne dich!,NEEDS_TRANSLATION,,,
endi_rozloucen_bis_bald_di7o,8,44,,bis; bald,1.000,1.000,Bis bald!,!P Bis bald!,NEEDS_TRANSLATION,,,
gree_pozdrav_m_pal_soste__ZGx2,7,56,,pal; soste; djal,1.000,1.000,Pal soste djal?,!T Pal soste djal?,NEEDS_TRANSLATION,,,
gree_pozdrav_m_devla_miro_HNhD,7,44,,devla; miro,1.000,1.000,Devla miro!,!T Devla miro!,NEEDS_TRANSLATION,,,
pozd_sousedsky_zaj_gezunt_N3nm,7,43,,zay; gezunt,1.000,1.000,Zay gezunt.,Mazel tov.,NEEDS_TRANSLATION,,,
gree_pozdrav_m_guten_aben_Qxwg,7,39,,guten; abend,1.000,1.000,Guten Abend!,Guten Abend!,NEEDS_TRANSLATION,,,
gree_obchodnik_salom_KAfl,7,30,,sholem,1.000,1.000,Sholem…,Shalom…,NEEDS_TRANSLATION,,,
assa_pratelske_scheisse_I25T,7,27,,scheisse,1.000,1.000,Scheiße!,Scheisse!,NEEDS_TRANSLATION,,,
chat_event_kap_hmmm_sIMW,7,21,,sakra,1.000,1.000,Sakra...,Sakra...,NEEDS_TRANSLATION,,,
gree_pozdrav_m_del_tume_o_3t8H,6,69,,del; tuke; lachi; rat,1.000,1.000,Mi del o Del tuke lachi rat.,!T Mi del o Del tuke lachi rat.,NEEDS_TRANSLATION,,,
gree_pozdrav_m_kames_vare_GMEq,6,44,,kames; vareso,1.000,1.000,Kames vareso?,!T Kames vareso?,NEEDS_TRANSLATION,,,
muz__hospodsky_sehr_gut_ZNBj,6,44,,sehr; gut,1.000,1.000,Sehr gut.,!P Sehr gut.,NEEDS_TRANSLATION,,,
gree_pozdrav_n_mein_gott__USlZ,6,44,,soll; das,1.000,1.000,Was soll das?,!P Was heisst das?,NEEDS_TRANSLATION,,,
gree_pozdrav_m_ma_nisma_xFHi,6,42,,sholem; fraynd,1.000,1.000,"Sholem, fraynd!","!P Šolem, Frajnd!",NEEDS_TRANSLATION,,,
endi_rozloucen_taves_bach_m1tL,6,41,,aves; bakhtalo,1.000,1.000,Te aves bakhtalo!,!T Te aves bakhtalo!,NEEDS_TRANSLATION,,,
muz__muz_prona_warum__SoWG,6,32,,warum,1.000,1.000,Warum?,!P Warum?,NEEDS_TRANSLATION,,,
npc__npc_vidi__halt_prest_JFuH,6,32,,machst,1.000,1.000,Was machst du?,!P Was machst du?,NEEDS_TRANSLATION,,,
hosp_hospodyne_pejres_9axW,6,30,,peyresh,1.000,1.000,Peyresh!,!P Pejresh!,NEEDS_TRANSLATION,,,
bff__hrac_pochvalen_bud_n_Nj1A,6,25,,servus,1.000,1.000,Servus!,Servus!,NEEDS_TRANSLATION,,,
henr_zarlivy_k_svou_sanci_0TvR,5,55,,andre; bul; djas,1.000,1.000,Andre bul te djas!,!T Andre bul te djas!,NEEDS_TRANSLATION,,,
lega_jindrich__tvuj_klobo_74Ax,5,55,,buona; sera; signori,1.000,1.000,"Buona sera, signori.","!P Buona sera, signori.",NEEDS_TRANSLATION,,,
kost_kostky_pa_ich_fajfe__KwS3,5,54,,ikh; fayfe; daroyf,1.000,1.000,Ikh fayfe daroyf.,Ich fajfe darojf.,NEEDS_TRANSLATION,,,
gree_pozdrav_m_vos_machst_FTay,5,51,,vos; makhst; mamzer,0.667,1.000,"Vos makhst du, mamzer?","!P Vos machst du, Mamzer?",NEEDS_TRANSLATION,,,
chat_ptacek_audentes_fort_vocC,5,49,,audentes; fortuna; iuvat,1.000,1.000,Audentes fortuna iuvat!,Audentes fortuna iuvat!,NEEDS_TRANSLATION,,,
endi_rozloucen_but_bacht__pnpV,5,44,,bakht; sastyipen,1.000,1.000,"But bakht, sastyipen!","!T But bakht, sastyipen!",NEEDS_TRANSLATION,,,
npc__npc_utika_karno_beej_W1fF,5,44,,karno; be-eynekha,1.000,1.000,Karno be-eynekha!,Karno be-ejnecha!,NEEDS_TRANSLATION,,,
gree_pozdrav_n_mein_gott_RIZ2,5,41,german,mein; gott,1.000,1.000,!P Mein Gott!,!P Mein Gott!,NEEDS_TRANSLATION,,,
kost_kostky_he_vos_glots__HKoh,5,39,,vos; glots,1.000,1.000,Vos glots du?,Vos glots du?,NEEDS_TRANSLATION,,,
kost_kibic_fac_was_ist_das_wEZV,5,39,german,ist; das,1.000,1.000,Was ist das?,Was ist das?,NEEDS_TRANSLATION,,,
gree_pozdrav_n_co_bys_rad_YGJO,5,38,,would; like,1.000,1.000,What would you like?,What would you like?,NEEDS_TRANSLATION,,,
gree_pozdrav_m_so_rodes_0XJK,5,32,,rodes,1.000,1.000,So rodes?,!T So rodes?,NEEDS_TRANSLATION,,,
gree_obchodnic_was_willst_1SG8,5,27,,willst,1.000,1.000,Was willst du?,Was willst du?,NEEDS_TRANSLATION,,,
gree_pozdrav_m_mein_freun_Mx1F,4,113,german,mein; freund; trunkenheit; ist; eine; sünde; übertreibe; nicht,1.000,1.000,"Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",NEEDS_TRANSLATION,,,
gree_pozdrav_m_guten_morg_5U15,4,89,german,guten; morgen; und; einen; gesegneten; tag,1.000,1.000,Guten Morgen und einen gesegneten Tag.,Guten Morgen und einen gesegneten Tag.,NEEDS_TRANSLATION,,,
rozl_rozloucen_auf_wieder_50wK,4,80,,gut; kannst; jetzt; gehen; wiedersehen,1.000,1.000,Gut. Du kannst jetzt gehen. Wiedersehen.,!P Gut. Du kannst jetzt gehen. Wiedersehen.,NEEDS_TRANSLATION,,,
npc__npc_bylo__geh_zum_te_W9Su,4,70,german,scher; dich; zum; teufel,1.000,1.000,Scher dich zum Teufel!,!P Geh zum Teufel!,NEEDS_TRANSLATION,,,
gree_obchodnic_wie_gehts__Ucov,4,65,german,wie; geht's; mein; freund,1.000,1.000,"Wie geht's, mein Freund?","Wie geht's, mein Freund?",NEEDS_TRANSLATION,,,
gree_pozdrav_n_willkommen_7MSG,4,58,german,willkommen; mein; freund,1.000,1.000,"Willkommen, mein Freund!","!P Willkommen, mein Freund!",NEEDS_TRANSLATION,,,
gree_pozdrav_z_laso_dejs__2Gyt,4,57,,del; lacho; dyives,1.000,1.000,Mi del o Del lacho dyives!,Mi del o Del lačho ďives!,NEEDS_TRANSLATION,,,
odmi_npc_odmit_nein_so_et_ICFB,4,56,,nein; bestimmt; nicht,1.000,1.000,"Nein, bestimmt nicht!","Nein, so etwas nicht.",NEEDS_TRANSLATION,,,
npc__npc_vidi__vos_machst_0EFt,4,56,,vos; makhst; khamer,1.000,1.000,"Vos makhst du, khamer?","Vos machst du, Chamr?",NEEDS_TRANSLATION,,,
gree_pozdrav_n_was_brauch_4wvJ,4,56,,brauchst; von; mir,1.000,1.000,Was brauchst du von mir?,!P Was brauchst du von mir?,NEEDS_TRANSLATION,,,
comb_hans_plum_sie_wollen_Hbnw,4,55,,willst; mir; zeigen,1.000,1.000,Willst du es mir zeigen?,!P Sie wollen es zeigen?,NEEDS_TRANSLATION,,,
inga_bohuta_pl_kyrie_elei_M1GZ,4,44,,kyrie; eleison,1.000,1.000,Kyrie eleison.,!P Kyrie eleison.,NEEDS_TRANSLATION,,,
endi_rozloucen_dzan_devle_PAYU,4,43,,djan; devleha,1.000,1.000,Djan Devleha!,Džan Devleha!,NEEDS_TRANSLATION,,,
gree_pozdrav_n_was_ist_lo_0GF3,4,41,german,ist; los,1.000,1.000,"!P Was ist los, Heinrich?","!P Was ist los, Heinrich?",NEEDS_TRANSLATION,,,
menh_menhart_z_verstehen_FQjz,4,40,german,ich; verstehe,1.000,1.000,Ich verstehe.,Ich verstehe.,NEEDS_TRANSLATION,,,
hosp_hospodska_nicht_viel_nJz2,4,40,german,nicht; viel,1.000,1.000,Nicht viel.,Nicht viel.,NEEDS_TRANSLATION,,,
endi_rozloucen_salom_alej_fKdq,4,40,,sholem; aleykhem,1.000,1.000,"Sholem aleykhem, Henry!","!P Shalom alejchem, Henry!",NEEDS_TRANSLATION,,,
goss_gossip_na_scheisse_Qtgr,4,39,,scheiss; drauf,1.000,1.000,Scheiß drauf!,scheiß drauf!,NEEDS_TRANSLATION,,,
gree_pozdrav_m_so_rodes_AWtN,4,39,,rodes; goro,1.000,1.000,"So rodes, goro?","So rodes, goro?",NEEDS_TRANSLATION,,,
gree_obchodnic_was_willst_EwdU,4,39,,willst; fremder,1.000,1.000,"Was willst du, Fremder?","Was willst du, Fremder?",NEEDS_TRANSLATION,,,
gree_pozdrav_m_sar_dzives_Z6eZ,4,33,yiddish_hebrew,devla,1.000,1.000,Oy Devla!,!T Oy Devla!,NEEDS_TRANSLATION,,,
muz__hospodsky_ja_gut_jn1Z,4,32,,gut,1.000,1.000,"Ja, gut.","!P Ja, gut.",NEEDS_TRANSLATION,,,
