localization_key,classification,detected_language,detected_languages,language_status,foreign_score,english_signal_count,matched_foreign_signals,strong_foreign_signals,weak_foreign_signals,shared_foreign_signals,suppressed_name_signals,language_evidence,English_reference,English_display,review_bucket,priority,reference_differs,review_decision,verified_foreign_span,verified_meaning,review_notes
kost_kostky_he_das_nenne__P9e5,likely_full_foreign,german,german,single,16,0,für; dich; gut; mich; mein; Freund,für; dich; mich; mein; Freund,gut,,,"german=16[für, dich, gut, mich, mein, Freund]",Das nenne ich Pech!,"Schlecht für dich, gut für mich, mein Freund.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
kost_kostky_he_dein_pech__HF0q,likely_full_foreign,german,german,single,16,0,für; dich; gut; mich; mein; Freund,für; dich; mich; mein; Freund,gut,,,"german=16[für, dich, gut, mich, mein, Freund]","Dein Pech, mein Glück, mein Freund.","Schlecht für dich, gut für mich, mein Freund.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
assa_npc_vidi__hodnej_hod_rjV8,likely_full_foreign,hungarian,hungarian,single,15,0,Jó; fiú; jó; Nem,Jó; fiú; jó,Nem,,,"hungarian=15[Jó, fiú, jó, Nem]",Good boy! Good boy! You don't want to do that!,Jó fiú. jó fiú. Nem akarsz bántani.,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_m_es_ist_ein_Yymn,likely_full_foreign,german,german,single,15,0,ist; eine; Sünde; Hintern; mein; Freund,eine; Sünde; Hintern; mein; Freund,ist,,,"german=15[ist, eine, Sünde, Hintern, mein, Freund]","Es ist eine Sünde, hier mit nacktem Arsch herumzulaufen, mein Freund!","Es ist eine Sünde, hier mit nacktem Hintern herumzulaufen, mein Freund!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_m_mein_freun_Mx1F,likely_full_foreign,german,german,single,15,0,Mein; Freund; ist; eine; Sünde; nicht,Mein; Freund; eine; Sünde; nicht,ist,,,"german=15[Mein, Freund, ist, eine, Sünde, nicht]","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",full_foreign_translation,highest,no,,,,display is likely fully foreign
gree_pozdrav_n_mein_freun_CF1i,likely_full_foreign,german,german,single,15,0,Mein; Freund; ist; eine; Sünde; nicht,Mein; Freund; eine; Sünde; nicht,ist,,,"german=15[Mein, Freund, ist, eine, Sünde, nicht]","!P Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_n_mein_freun_dt9W,likely_full_foreign,german,german,single,15,0,Mein; Freund; ist; eine; Sünde; nicht,Mein; Freund; eine; Sünde; nicht,ist,,,"german=15[Mein, Freund, ist, eine, Sünde, nicht]","!P Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_z_es_ist_ein_mw8y,likely_full_foreign,german,german,single,15,0,ist; eine; Sünde; Hintern; mein; Freund,eine; Sünde; Hintern; mein; Freund,ist,,,"german=15[ist, eine, Sünde, Hintern, mein, Freund]","!P Es ist eine Sünde, hier mit nacktem Arsch herumzulaufen, mein Freund!","Es ist eine Sünde, hier mit nacktem Hintern herumzulaufen, mein Freund!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_z_mein_freun_nNlA,likely_full_foreign,german,german,single,15,0,Mein; Freund; ist; eine; Sünde; nicht,Mein; Freund; eine; Sünde; nicht,ist,,,"german=15[Mein, Freund, ist, eine, Sünde, nicht]","!P Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!","Mein Freund, Trunkenheit ist eine Sünde. Übertreibe es nicht!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_m_gru_dich_w_s5Oh,likely_full_foreign,german,german,single,14,0,Grüß; dich; ich; dir; mein; Freund,Grüß; dich; mein; Freund,ich; dir,,,"german=14[Grüß, dich, ich, dir, mein, Freund]","Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?",full_foreign_translation,highest,no,,,,display is likely fully foreign
