representative_key,family_size,original_display_text,source_language,verified_meaning,confidence,source_basis,status
endi_rozloucen_auf_wieder_T6YC,18,Auf Wiedersehen!,German,Goodbye!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
pozd_npc_zdrav_gru_gott_9KrT,14,Grüß Gott!,German,Hello!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
gree_obchodnik_was_ist_lo_AJJT,13,Was ist los?,German,What's wrong?,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
hosp_hospodska_uf_borech__Rrni,12,Borekh ha-shem!,Yiddish/Hebrew,Blessed be the Name!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
rozl_rozloucen_tschuss_CM0e,12,Tschüss!,German,Bye!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
gree_pozdrav_n_guten_tag_P7yn,11,Guten Tag!,German,Good day!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
goss_gossip_na_och_BiC6,10,Mein Gott!,German,My God!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
endi_rozloucen_salom_alej_41QQ,10,Sholem aleykhem!,Yiddish/Hebrew,Peace be upon you!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
endi_rozloucen_zaj_gezunt_5XCA,10,Zay gezunt!,Yiddish,Be well!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
gree_pozdrav_n_servus_mann_9uX4,9,Grüß dich!,German,Hello!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
endi_rozloucen_bis_bald_di7o,8,Bis bald!,German,See you soon!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
pozd_pozdrav_n_gott_segne_4flq,8,Gott segne dich!,German,God bless you!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
gree_pozdrav_m_guten_aben_Qxwg,7,Guten Abend!,German,Good evening!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
assa_pratelske_scheisse_I25T,7,Scheiße!,German,Shit!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
muz__hospodsky_sehr_gut_ZNBj,6,Sehr gut.,German,Very good.,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
bff__hrac_pochvalen_bud_n_Nj1A,6,Servus!,German,Hello!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
muz__muz_prona_warum__SoWG,6,Warum?,German,Why?,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
npc__npc_vidi__halt_prest_JFuH,6,Was machst du?,German,What are you doing?,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
gree_pozdrav_n_mein_gott__USlZ,6,Was soll das?,German,What's that supposed to mean?,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
chat_ptacek_audentes_fort_vocC,5,Audentes fortuna iuvat!,Latin,Fortune favors the bold!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
lega_jindrich__tvuj_klobo_74Ax,5,"Buona sera, signori.",Italian,"Good evening, gentlemen.",high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
kost_kibic_fac_was_ist_das_wEZV,5,Was ist das?,German,What is that?,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
